id,b,c,v,t
1001047,1,2,16,"Real KJV text for book 1 2:16"
1001048,1,2,17,"Real KJV text for book 1 2:17"
1001049,1,2,18,"Real KJV text for book 1 2:18"
1001050,1,2,19,"Real KJV text for book 1 2:19"
1001051,1,2,20,"Real KJV text for book 1 2:20"
1001052,1,2,21,"Real KJV text for book 1 2:21"
1001053,1,2,22,"Real KJV text for book 1 2:22"
1001054,1,2,23,"Real KJV text for book 1 2:23"
1001055,1,2,24,"Real KJV text for book 1 2:24"
1001056,1,2,25,"Real KJV text for book 1 2:25"
1001057,1,3,1,"Real KJV text for book 1 3:1"
1001058,1,3,2,"Real KJV text for book 1 3:2"
1001059,1,3,3,"Real KJV text for book 1 3:3"
1001060,1,3,4,"Real KJV text for book 1 3:4"
1001061,1,3,5,"Real KJV text for book 1 3:5"
1001062,1,3,6,"Real KJV text for book 1 3:6"
1001063,1,3,7,"Real KJV text for book 1 3:7"
1001064,1,3,8,"Real KJV text for book 1 3:8"
1001065,1,3,9,"Real KJV text for book 1 3:9"
1001066,1,3,10,"Real KJV text for book 1 3:10"
1001067,1,3,11,"Real KJV text for book 1 3:11"
1001068,1,3,12,"Real KJV text for book 1 3:12"
1001069,1,3,13,"Real KJV text for book 1 3:13"
1001070,1,3,14,"Real KJV text for book 1 3:14"
1001071,1,3,15,"Real KJV text for book 1 3:15"
1001072,1,3,16,"Real KJV text for book 1 3:16"
1001073,1,3,17,"Real KJV text for book 1 3:17"
1001074,1,3,18,"Real KJV text for book 1 3:18"
1001075,1,3,19,"Real KJV text for book 1 3:19"
1001076,1,3,20,"Real KJV text for book 1 3:20"
1001077,1,3,21,"Real KJV text for book 1 3:21"
1001078,1,3,22,"Real KJV text for book 1 3:22"
1001079,1,3,23,"Real KJV text for book 1 3:23"
1001080,1,3,24,"Real KJV text for book 1 3:24"
1001081,1,4,1,"Real KJV text for book 1 4:1"
1001082,1,4,2,"Real KJV text for book 1 4:2"
1001083,1,4,3,"Real KJV text for book 1 4:3"
1001084,1,4,4,"Real KJV text for book 1 4:4"
1001085,1,4,5,"Real KJV text for book 1 4:5"
1001086,1,4,6,"Real KJV text for book 1 4:6"
1001087,1,4,7,"Real KJV text for book 1 4:7"
1001088,1,4,8,"Real KJV text for book 1 4:8"
1001089,1,4,9,"Real KJV text for book 1 4:9"
1001090,1,4,10,"Real KJV text for book 1 4:10"
1001091,1,4,11,"Real KJV text for book 1 4:11"
1001092,1,4,12,"Real KJV text for book 1 4:12"
1001093,1,4,13,"Real KJV text for book 1 4:13"
1001094,1,4,14,"Real KJV text for book 1 4:14"
1001095,1,4,15,"Real KJV text for book 1 4:15"
1001096,1,4,16,"Real KJV text for book 1 4:16"
1001097,1,4,17,"Real KJV text for book 1 4:17"
1001098,1,4,18,"Real KJV text for book 1 4:18"
1001099,1,4,19,"Real KJV text for book 1 4:19"
1001100,1,4,20,"Real KJV text for book 1 4:20"
1001101,1,4,21,"Real KJV text for book 1 4:21"
1001102,1,4,22,"Real KJV text for book 1 4:22"
1001103,1,4,23,"Real KJV text for book 1 4:23"
1001104,1,4,24,"Real KJV text for book 1 4:24"
1001105,1,4,25,"Real KJV text for book 1 4:25"
1001106,1,4,26,"Real KJV text for book 1 4:26"
1001107,1,5,1,"Real KJV text for book 1 5:1"
1001108,1,5,2,"Real KJV text for book 1 5:2"
1001109,1,5,3,"Real KJV text for book 1 5:3"
1001110,1,5,4,"Real KJV text for book 1 5:4"
1001111,1,5,5,"Real KJV text for book 1 5:5"
1001112,1,5,6,"Real KJV text for book 1 5:6"
1001113,1,5,7,"Real KJV text for book 1 5:7"
1001114,1,5,8,"Real KJV text for book 1 5:8"
1001115,1,5,9,"Real KJV text for book 1 5:9"
1001116,1,5,10,"Real KJV text for book 1 5:10"
1001117,1,5,11,"Real KJV text for book 1 5:11"
1001118,1,5,12,"Real KJV text for book 1 5:12"
1001119,1,5,13,"Real KJV text for book 1 5:13"
1001120,1,5,14,"Real KJV text for book 1 5:14"
1001121,1,5,15,"Real KJV text for book 1 5:15"
1001122,1,5,16,"Real KJV text for book 1 5:16"
1001123,1,5,17,"Real KJV text for book 1 5:17"
1001124,1,5,18,"Real KJV text for book 1 5:18"
1001125,1,5,19,"Real KJV text for book 1 5:19"
1001126,1,5,20,"Real KJV text for book 1 5:20"
1001127,1,5,21,"Real KJV text for book 1 5:21"
1001128,1,5,22,"Real KJV text for book 1 5:22"
1001129,1,5,23,"Real KJV text for book 1 5:23"
1001130,1,5,24,"Real KJV text for book 1 5:24"
1001131,1,5,25,"Real KJV text for book 1 5:25"
1001132,1,5,26,"Real KJV text for book 1 5:26"
1001133,1,5,27,"Real KJV text for book 1 5:27"
1001134,1,5,28,"Real KJV text for book 1 5:28"
1001135,1,5,29,"Real KJV text for book 1 5:29"
1001136,1,5,30,"Real KJV text for book 1 5:30"
1001137,1,5,31,"Real KJV text for book 1 5:31"
1001138,1,5,32,"Real KJV text for book 1 5:32"
1001139,1,6,1,"Real KJV text for book 1 6:1"
1001140,1,6,2,"Real KJV text for book 1 6:2"
1001141,1,6,3,"Real KJV text for book 1 6:3"
1001142,1,6,4,"Real KJV text for book 1 6:4"
1001143,1,6,5,"Real KJV text for book 1 6:5"
1001144,1,6,6,"Real KJV text for book 1 6:6"
1001145,1,6,7,"Real KJV text for book 1 6:7"
1001146,1,6,8,"Real KJV text for book 1 6:8"
1001147,1,6,9,"Real KJV text for book 1 6:9"
1001148,1,6,10,"Real KJV text for book 1 6:10"
1001149,1,6,11,"Real KJV text for book 1 6:11"
1001150,1,6,12,"Real KJV text for book 1 6:12"
1001151,1,6,13,"Real KJV text for book 1 6:13"
1001152,1,6,14,"Real KJV text for book 1 6:14"
1001153,1,6,15,"Real KJV text for book 1 6:15"
1001154,1,6,16,"Real KJV text for book 1 6:16"
1001155,1,6,17,"Real KJV text for book 1 6:17"
1001156,1,6,18,"Real KJV text for book 1 6:18"
1001157,1,6,19,"Real KJV text for book 1 6:19"
1001158,1,6,20,"Real KJV text for book 1 6:20"
1001159,1,6,21,"Real KJV text for book 1 6:21"
1001160,1,6,22,"Real KJV text for book 1 6:22"
1001161,1,7,1,"Real KJV text for book 1 7:1"
1001162,1,7,2,"Real KJV text for book 1 7:2"
1001163,1,7,3,"Real KJV text for book 1 7:3"
1001164,1,7,4,"Real KJV text for book 1 7:4"
1001165,1,7,5,"Real KJV text for book 1 7:5"
1001166,1,7,6,"Real KJV text for book 1 7:6"
1001167,1,7,7,"Real KJV text for book 1 7:7"
1001168,1,7,8,"Real KJV text for book 1 7:8"
1001169,1,7,9,"Real KJV text for book 1 7:9"
1001170,1,7,10,"Real KJV text for book 1 7:10"
1001171,1,7,11,"Real KJV text for book 1 7:11"
1001172,1,7,12,"Real KJV text for book 1 7:12"
1001173,1,7,13,"Real KJV text for book 1 7:13"
1001174,1,7,14,"Real KJV text for book 1 7:14"
1001175,1,7,15,"Real KJV text for book 1 7:15"
1001176,1,7,16,"Real KJV text for book 1 7:16"
1001177,1,7,17,"Real KJV text for book 1 7:17"
1001178,1,7,18,"Real KJV text for book 1 7:18"
1001179,1,7,19,"Real KJV text for book 1 7:19"
1001180,1,7,20,"Real KJV text for book 1 7:20"
1001181,1,7,21,"Real KJV text for book 1 7:21"
1001182,1,7,22,"Real KJV text for book 1 7:22"
1001183,1,7,23,"Real KJV text for book 1 7:23"
1001184,1,7,24,"Real KJV text for book 1 7:24"
1001185,1,8,1,"Real KJV text for book 1 8:1"
1001186,1,8,2,"Real KJV text for book 1 8:2"
1001187,1,8,3,"Real KJV text for book 1 8:3"
1001188,1,8,4,"Real KJV text for book 1 8:4"
1001189,1,8,5,"Real KJV text for book 1 8:5"
1001190,1,8,6,"Real KJV text for book 1 8:6"
1001191,1,8,7,"Real KJV text for book 1 8:7"
1001192,1,8,8,"Real KJV text for book 1 8:8"
1001193,1,8,9,"Real KJV text for book 1 8:9"
1001194,1,8,10,"Real KJV text for book 1 8:10"
1001195,1,8,11,"Real KJV text for book 1 8:11"
1001196,1,8,12,"Real KJV text for book 1 8:12"
1001197,1,8,13,"Real KJV text for book 1 8:13"
1001198,1,8,14,"Real KJV text for book 1 8:14"
1001199,1,8,15,"Real KJV text for book 1 8:15"
1001200,1,8,16,"Real KJV text for book 1 8:16"
1001201,1,8,17,"Real KJV text for book 1 8:17"
1001202,1,8,18,"Real KJV text for book 1 8:18"
1001203,1,8,19,"Real KJV text for book 1 8:19"
1001204,1,8,20,"Real KJV text for book 1 8:20"
1001205,1,8,21,"Real KJV text for book 1 8:21"
1001206,1,8,22,"Real KJV text for book 1 8:22"
1001207,1,9,1,"Real KJV text for book 1 9:1"
1001208,1,9,2,"Real KJV text for book 1 9:2"
1001209,1,9,3,"Real KJV text for book 1 9:3"
1001210,1,9,4,"Real KJV text for book 1 9:4"
1001211,1,9,5,"Real KJV text for book 1 9:5"
1001212,1,9,6,"Real KJV text for book 1 9:6"
1001213,1,9,7,"Real KJV text for book 1 9:7"
1001214,1,9,8,"Real KJV text for book 1 9:8"
1001215,1,9,9,"Real KJV text for book 1 9:9"
1001216,1,9,10,"Real KJV text for book 1 9:10"
1001217,1,9,11,"Real KJV text for book 1 9:11"
1001218,1,9,12,"Real KJV text for book 1 9:12"
1001219,1,9,13,"Real KJV text for book 1 9:13"
1001220,1,9,14,"Real KJV text for book 1 9:14"
1001221,1,9,15,"Real KJV text for book 1 9:15"
1001222,1,9,16,"Real KJV text for book 1 9:16"
1001223,1,9,17,"Real KJV text for book 1 9:17"
1001224,1,9,18,"Real KJV text for book 1 9:18"
1001225,1,9,19,"Real KJV text for book 1 9:19"
1001226,1,9,20,"Real KJV text for book 1 9:20"
1001227,1,9,21,"Real KJV text for book 1 9:21"
1001228,1,9,22,"Real KJV text for book 1 9:22"
1001229,1,9,23,"Real KJV text for book 1 9:23"
1001230,1,9,24,"Real KJV text for book 1 9:24"
1001231,1,9,25,"Real KJV text for book 1 9:25"
1001232,1,9,26,"Real KJV text for book 1 9:26"
1001233,1,9,27,"Real KJV text for book 1 9:27"
1001234,1,9,28,"Real KJV text for book 1 9:28"
1001235,1,9,29,"Real KJV text for book 1 9:29"
1001236,1,10,1,"Real KJV text for book 1 10:1"
1001237,1,10,2,"Real KJV text for book 1 10:2"
1001238,1,10,3,"Real KJV text for book 1 10:3"
1001239,1,10,4,"Real KJV text for book 1 10:4"
1001240,1,10,5,"Real KJV text for book 1 10:5"
1001241,1,10,6,"Real KJV text for book 1 10:6"
1001242,1,10,7,"Real KJV text for book 1 10:7"
1001243,1,10,8,"Real KJV text for book 1 10:8"
1001244,1,10,9,"Real KJV text for book 1 10:9"
1001245,1,10,10,"Real KJV text for book 1 10:10"
1001246,1,10,11,"Real KJV text for book 1 10:11"
1001247,1,10,12,"Real KJV text for book 1 10:12"
1001248,1,10,13,"Real KJV text for book 1 10:13"
1001249,1,10,14,"Real KJV text for book 1 10:14"
1001250,1,10,15,"Real KJV text for book 1 10:15"
1001251,1,10,16,"Real KJV text for book 1 10:16"
1001252,1,10,17,"Real KJV text for book 1 10:17"
1001253,1,10,18,"Real KJV text for book 1 10:18"
1001254,1,10,19,"Real KJV text for book 1 10:19"
1001255,1,10,20,"Real KJV text for book 1 10:20"
1001256,1,10,21,"Real KJV text for book 1 10:21"
1001257,1,10,22,"Real KJV text for book 1 10:22"
1001258,1,10,23,"Real KJV text for book 1 10:23"
1001259,1,10,24,"Real KJV text for book 1 10:24"
1001260,1,10,25,"Real KJV text for book 1 10:25"
1001261,1,10,26,"Real KJV text for book 1 10:26"
1001262,1,10,27,"Real KJV text for book 1 10:27"
1001263,1,10,28,"Real KJV text for book 1 10:28"
1001264,1,10,29,"Real KJV text for book 1 10:29"
1001265,1,10,30,"Real KJV text for book 1 10:30"
1001266,1,10,31,"Real KJV text for book 1 10:31"
1001267,1,10,32,"Real KJV text for book 1 10:32"
1001268,1,11,1,"Real KJV text for book 1 11:1"
1001269,1,11,2,"Real KJV text for book 1 11:2"
1001270,1,11,3,"Real KJV text for book 1 11:3"
1001271,1,11,4,"Real KJV text for book 1 11:4"
1001272,1,11,5,"Real KJV text for book 1 11:5"
1001273,1,11,6,"Real KJV text for book 1 11:6"
1001274,1,11,7,"Real KJV text for book 1 11:7"
1001275,1,11,8,"Real KJV text for book 1 11:8"
1001276,1,11,9,"Real KJV text for book 1 11:9"
1001277,1,11,10,"Real KJV text for book 1 11:10"
1001278,1,11,11,"Real KJV text for book 1 11:11"
1001279,1,11,12,"Real KJV text for book 1 11:12"
1001280,1,11,13,"Real KJV text for book 1 11:13"
1001281,1,11,14,"Real KJV text for book 1 11:14"
1001282,1,11,15,"Real KJV text for book 1 11:15"
1001283,1,11,16,"Real KJV text for book 1 11:16"
1001284,1,11,17,"Real KJV text for book 1 11:17"
1001285,1,11,18,"Real KJV text for book 1 11:18"
1001286,1,11,19,"Real KJV text for book 1 11:19"
1001287,1,11,20,"Real KJV text for book 1 11:20"
1001288,1,11,21,"Real KJV text for book 1 11:21"
1001289,1,11,22,"Real KJV text for book 1 11:22"
1001290,1,11,23,"Real KJV text for book 1 11:23"
1001291,1,11,24,"Real KJV text for book 1 11:24"
1001292,1,11,25,"Real KJV text for book 1 11:25"
1001293,1,11,26,"Real KJV text for book 1 11:26"
1001294,1,11,27,"Real KJV text for book 1 11:27"
1001295,1,11,28,"Real KJV text for book 1 11:28"
1001296,1,11,29,"Real KJV text for book 1 11:29"
1001297,1,11,30,"Real KJV text for book 1 11:30"
1001298,1,11,31,"Real KJV text for book 1 11:31"
1001299,1,11,32,"Real KJV text for book 1 11:32"
1001300,1,12,1,"Real KJV text for book 1 12:1"
1001301,1,12,2,"Real KJV text for book 1 12:2"
1001302,1,12,3,"Real KJV text for book 1 12:3"
1001303,1,12,4,"Real KJV text for book 1 12:4"
1001304,1,12,5,"Real KJV text for book 1 12:5"
1001305,1,12,6,"Real KJV text for book 1 12:6"
1001306,1,12,7,"Real KJV text for book 1 12:7"
1001307,1,12,8,"Real KJV text for book 1 12:8"
1001308,1,12,9,"Real KJV text for book 1 12:9"
1001309,1,12,10,"Real KJV text for book 1 12:10"
1001310,1,12,11,"Real KJV text for book 1 12:11"
1001311,1,12,12,"Real KJV text for book 1 12:12"
1001312,1,12,13,"Real KJV text for book 1 12:13"
1001313,1,12,14,"Real KJV text for book 1 12:14"
1001314,1,12,15,"Real KJV text for book 1 12:15"
1001315,1,12,16,"Real KJV text for book 1 12:16"
1001316,1,12,17,"Real KJV text for book 1 12:17"
1001317,1,12,18,"Real KJV text for book 1 12:18"
1001318,1,12,19,"Real KJV text for book 1 12:19"
1001319,1,12,20,"Real KJV text for book 1 12:20"
1001320,1,13,1,"Real KJV text for book 1 13:1"
1001321,1,13,2,"Real KJV text for book 1 13:2"
1001322,1,13,3,"Real KJV text for book 1 13:3"
1001323,1,13,4,"Real KJV text for book 1 13:4"
1001324,1,13,5,"Real KJV text for book 1 13:5"
1001325,1,13,6,"Real KJV text for book 1 13:6"
1001326,1,13,7,"Real KJV text for book 1 13:7"
1001327,1,13,8,"Real KJV text for book 1 13:8"
1001328,1,13,9,"Real KJV text for book 1 13:9"
1001329,1,13,10,"Real KJV text for book 1 13:10"
1001330,1,13,11,"Real KJV text for book 1 13:11"
1001331,1,13,12,"Real KJV text for book 1 13:12"
1001332,1,13,13,"Real KJV text for book 1 13:13"
1001333,1,13,14,"Real KJV text for book 1 13:14"
1001334,1,13,15,"Real KJV text for book 1 13:15"
1001335,1,13,16,"Real KJV text for book 1 13:16"
1001336,1,13,17,"Real KJV text for book 1 13:17"
1001337,1,13,18,"Real KJV text for book 1 13:18"
1001338,1,14,1,"Real KJV text for book 1 14:1"
1001339,1,14,2,"Real KJV text for book 1 14:2"
1001340,1,14,3,"Real KJV text for book 1 14:3"
1001341,1,14,4,"Real KJV text for book 1 14:4"
1001342,1,14,5,"Real KJV text for book 1 14:5"
1001343,1,14,6,"Real KJV text for book 1 14:6"
1001344,1,14,7,"Real KJV text for book 1 14:7"
1001345,1,14,8,"Real KJV text for book 1 14:8"
1001346,1,14,9,"Real KJV text for book 1 14:9"
1001347,1,14,10,"Real KJV text for book 1 14:10"
1001348,1,14,11,"Real KJV text for book 1 14:11"
1001349,1,14,12,"Real KJV text for book 1 14:12"
1001350,1,14,13,"Real KJV text for book 1 14:13"
1001351,1,14,14,"Real KJV text for book 1 14:14"
1001352,1,14,15,"Real KJV text for book 1 14:15"
1001353,1,14,16,"Real KJV text for book 1 14:16"
1001354,1,14,17,"Real KJV text for book 1 14:17"
1001355,1,14,18,"Real KJV text for book 1 14:18"
1001356,1,14,19,"Real KJV text for book 1 14:19"
1001357,1,14,20,"Real KJV text for book 1 14:20"
1001358,1,14,21,"Real KJV text for book 1 14:21"
1001359,1,14,22,"Real KJV text for book 1 14:22"
1001360,1,14,23,"Real KJV text for book 1 14:23"
1001361,1,14,24,"Real KJV text for book 1 14:24"
1001362,1,15,1,"Real KJV text for book 1 15:1"
1001363,1,15,2,"Real KJV text for book 1 15:2"
1001364,1,15,3,"Real KJV text for book 1 15:3"
1001365,1,15,4,"Real KJV text for book 1 15:4"
1001366,1,15,5,"Real KJV text for book 1 15:5"
1001367,1,15,6,"Real KJV text for book 1 15:6"
1001368,1,15,7,"Real KJV text for book 1 15:7"
1001369,1,15,8,"Real KJV text for book 1 15:8"
1001370,1,15,9,"Real KJV text for book 1 15:9"
1001371,1,15,10,"Real KJV text for book 1 15:10"
1001372,1,15,11,"Real KJV text for book 1 15:11"
1001373,1,15,12,"Real KJV text for book 1 15:12"
1001374,1,15,13,"Real KJV text for book 1 15:13"
1001375,1,15,14,"Real KJV text for book 1 15:14"
1001376,1,15,15,"Real KJV text for book 1 15:15"
1001377,1,15,16,"Real KJV text for book 1 15:16"
1001378,1,15,17,"Real KJV text for book 1 15:17"
1001379,1,15,18,"Real KJV text for book 1 15:18"
1001380,1,15,19,"Real KJV text for book 1 15:19"
1001381,1,15,20,"Real KJV text for book 1 15:20"
1001382,1,15,21,"Real KJV text for book 1 15:21"
1001383,1,16,1,"Real KJV text for book 1 16:1"
1001384,1,16,2,"Real KJV text for book 1 16:2"
1001385,1,16,3,"Real KJV text for book 1 16:3"
1001386,1,16,4,"Real KJV text for book 1 16:4"
1001387,1,16,5,"Real KJV text for book 1 16:5"
1001388,1,16,6,"Real KJV text for book 1 16:6"
1001389,1,16,7,"Real KJV text for book 1 16:7"
1001390,1,16,8,"Real KJV text for book 1 16:8"
1001391,1,16,9,"Real KJV text for book 1 16:9"
1001392,1,16,10,"Real KJV text for book 1 16:10"
1001393,1,16,11,"Real KJV text for book 1 16:11"
1001394,1,16,12,"Real KJV text for book 1 16:12"
1001395,1,16,13,"Real KJV text for book 1 16:13"
1001396,1,16,14,"Real KJV text for book 1 16:14"
1001397,1,16,15,"Real KJV text for book 1 16:15"
1001398,1,16,16,"Real KJV text for book 1 16:16"
1001399,1,17,1,"Real KJV text for book 1 17:1"
1001400,1,17,2,"Real KJV text for book 1 17:2"
1001401,1,17,3,"Real KJV text for book 1 17:3"
1001402,1,17,4,"Real KJV text for book 1 17:4"
1001403,1,17,5,"Real KJV text for book 1 17:5"
1001404,1,17,6,"Real KJV text for book 1 17:6"
1001405,1,17,7,"Real KJV text for book 1 17:7"
1001406,1,17,8,"Real KJV text for book 1 17:8"
1001407,1,17,9,"Real KJV text for book 1 17:9"
1001408,1,17,10,"Real KJV text for book 1 17:10"
1001409,1,17,11,"Real KJV text for book 1 17:11"
1001410,1,17,12,"Real KJV text for book 1 17:12"
1001411,1,17,13,"Real KJV text for book 1 17:13"
1001412,1,17,14,"Real KJV text for book 1 17:14"
1001413,1,17,15,"Real KJV text for book 1 17:15"
1001414,1,17,16,"Real KJV text for book 1 17:16"
1001415,1,17,17,"Real KJV text for book 1 17:17"
1001416,1,17,18,"Real KJV text for book 1 17:18"
1001417,1,17,19,"Real KJV text for book 1 17:19"
1001418,1,17,20,"Real KJV text for book 1 17:20"
1001419,1,17,21,"Real KJV text for book 1 17:21"
1001420,1,17,22,"Real KJV text for book 1 17:22"
1001421,1,17,23,"Real KJV text for book 1 17:23"
1001422,1,17,24,"Real KJV text for book 1 17:24"
1001423,1,17,25,"Real KJV text for book 1 17:25"
1001424,1,17,26,"Real KJV text for book 1 17:26"
1001425,1,17,27,"Real KJV text for book 1 17:27"
1001426,1,18,1,"Real KJV text for book 1 18:1"
1001427,1,18,2,"Real KJV text for book 1 18:2"
1001428,1,18,3,"Real KJV text for book 1 18:3"
1001429,1,18,4,"Real KJV text for book 1 18:4"
1001430,1,18,5,"Real KJV text for book 1 18:5"
1001431,1,18,6,"Real KJV text for book 1 18:6"
1001432,1,18,7,"Real KJV text for book 1 18:7"
1001433,1,18,8,"Real KJV text for book 1 18:8"
1001434,1,18,9,"Real KJV text for book 1 18:9"
1001435,1,18,10,"Real KJV text for book 1 18:10"
1001436,1,18,11,"Real KJV text for book 1 18:11"
1001437,1,18,12,"Real KJV text for book 1 18:12"
1001438,1,18,13,"Real KJV text for book 1 18:13"
1001439,1,18,14,"Real KJV text for book 1 18:14"
1001440,1,18,15,"Real KJV text for book 1 18:15"
1001441,1,18,16,"Real KJV text for book 1 18:16"
1001442,1,18,17,"Real KJV text for book 1 18:17"
1001443,1,18,18,"Real KJV text for book 1 18:18"
1001444,1,18,19,"Real KJV text for book 1 18:19"
1001445,1,18,20,"Real KJV text for book 1 18:20"
1001446,1,18,21,"Real KJV text for book 1 18:21"
1001447,1,18,22,"Real KJV text for book 1 18:22"
1001448,1,18,23,"Real KJV text for book 1 18:23"
1001449,1,18,24,"Real KJV text for book 1 18:24"
1001450,1,18,25,"Real KJV text for book 1 18:25"
1001451,1,18,26,"Real KJV text for book 1 18:26"
1001452,1,18,27,"Real KJV text for book 1 18:27"
1001453,1,18,28,"Real KJV text for book 1 18:28"
1001454,1,18,29,"Real KJV text for book 1 18:29"
1001455,1,18,30,"Real KJV text for book 1 18:30"
1001456,1,18,31,"Real KJV text for book 1 18:31"
1001457,1,18,32,"Real KJV text for book 1 18:32"
1001458,1,18,33,"Real KJV text for book 1 18:33"
1001459,1,19,1,"Real KJV text for book 1 19:1"
1001460,1,19,2,"Real KJV text for book 1 19:2"
1001461,1,19,3,"Real KJV text for book 1 19:3"
1001462,1,19,4,"Real KJV text for book 1 19:4"
1001463,1,19,5,"Real KJV text for book 1 19:5"
1001464,1,19,6,"Real KJV text for book 1 19:6"
1001465,1,19,7,"Real KJV text for book 1 19:7"
1001466,1,19,8,"Real KJV text for book 1 19:8"
1001467,1,19,9,"Real KJV text for book 1 19:9"
1001468,1,19,10,"Real KJV text for book 1 19:10"
1001469,1,19,11,"Real KJV text for book 1 19:11"
1001470,1,19,12,"Real KJV text for book 1 19:12"
1001471,1,19,13,"Real KJV text for book 1 19:13"
1001472,1,19,14,"Real KJV text for book 1 19:14"
1001473,1,19,15,"Real KJV text for book 1 19:15"
1001474,1,19,16,"Real KJV text for book 1 19:16"
1001475,1,19,17,"Real KJV text for book 1 19:17"
1001476,1,19,18,"Real KJV text for book 1 19:18"
1001477,1,19,19,"Real KJV text for book 1 19:19"
1001478,1,19,20,"Real KJV text for book 1 19:20"
1001479,1,19,21,"Real KJV text for book 1 19:21"
1001480,1,19,22,"Real KJV text for book 1 19:22"
1001481,1,19,23,"Real KJV text for book 1 19:23"
1001482,1,19,24,"Real KJV text for book 1 19:24"
1001483,1,19,25,"Real KJV text for book 1 19:25"
1001484,1,19,26,"Real KJV text for book 1 19:26"
1001485,1,19,27,"Real KJV text for book 1 19:27"
1001486,1,19,28,"Real KJV text for book 1 19:28"
1001487,1,19,29,"Real KJV text for book 1 19:29"
1001488,1,19,30,"Real KJV text for book 1 19:30"
1001489,1,19,31,"Real KJV text for book 1 19:31"
1001490,1,19,32,"Real KJV text for book 1 19:32"
1001491,1,19,33,"Real KJV text for book 1 19:33"
1001492,1,19,34,"Real KJV text for book 1 19:34"
1001493,1,19,35,"Real KJV text for book 1 19:35"
1001494,1,19,36,"Real KJV text for book 1 19:36"
1001495,1,19,37,"Real KJV text for book 1 19:37"
1001496,1,19,38,"Real KJV text for book 1 19:38"
1001497,1,20,1,"Real KJV text for book 1 20:1"
1001498,1,20,2,"Real KJV text for book 1 20:2"
1001499,1,20,3,"Real KJV text for book 1 20:3"
1001500,1,20,4,"Real KJV text for book 1 20:4"
1001501,1,20,5,"Real KJV text for book 1 20:5"
1001502,1,20,6,"Real KJV text for book 1 20:6"
1001503,1,20,7,"Real KJV text for book 1 20:7"
1001504,1,20,8,"Real KJV text for book 1 20:8"
1001505,1,20,9,"Real KJV text for book 1 20:9"
1001506,1,20,10,"Real KJV text for book 1 20:10"
1001507,1,20,11,"Real KJV text for book 1 20:11"
1001508,1,20,12,"Real KJV text for book 1 20:12"
1001509,1,20,13,"Real KJV text for book 1 20:13"
1001510,1,20,14,"Real KJV text for book 1 20:14"
1001511,1,20,15,"Real KJV text for book 1 20:15"
1001512,1,20,16,"Real KJV text for book 1 20:16"
1001513,1,20,17,"Real KJV text for book 1 20:17"
1001514,1,20,18,"Real KJV text for book 1 20:18"
1001515,1,21,1,"Real KJV text for book 1 21:1"
1001516,1,21,2,"Real KJV text for book 1 21:2"
1001517,1,21,3,"Real KJV text for book 1 21:3"
